first_name,last_name,full_name,phone,client_id,dob,age,inception,city,state,street,advisor,lat,lon,account_types,total_aum
Richard,Williamson,Richard Williamson,522-236-6049,24,1971-11-18,46,2015-03-07,Fayetteville,AR,424 North Powderhorn Drive,Cynthia,36.07001899999999,-94.2141089,"Roth 401(k),529,Traditional IRA",42323.7604463393
Rose,Meier,Rose Meier,418-309-0573,25,1982-06-18,36,2010-10-05,Agawam,MA,30 Windermere Drive,Cynthia,42.0700018,-72.65142159999999,"529,Roth 401(k),Traditional IRA",195220.834637969
Joseph,Ownby,Joseph Ownby,278-629-0491,26,1988-10-18,30,2000-02-10,Fremont,CA,39247 Sundale Drive,Robert,37.5384851,-121.9855489,"Roth IRA,529,Brokerage,Traditional IRA",49342.51084697783
Louis,Carlstrom,Louis Carlstrom,186-305-7440,27,1970-12-17,47,2016-03-15,Anchorage,AK,880 H Street,Robert,61.2138319,-149.8975861,"529,Roth IRA",246057.9118188926
Celestine,Riggings,Celestine Riggings,146-341-5616,28,1989-08-28,29,2000-09-03,Manchester,CT,4 Orchard Street,Robert,41.7747,-72.5247351,"529,Roth IRA,Roth 401(k)",48558.93512218425
Felix,Simpson,Felix Simpson,315-933-2544,29,1953-01-20,65,2006-06-11,Louisville,KY,1601 Algonquin Parkway,Robert,38.2225055,-85.7828486,Roth IRA,4447.382059574786
Katrina,Winters,Katrina Winters,326-332-5730,30,1989-05-20,29,2012-01-26,Washington,DC,1333 Kenyon Street Northwest,Cynthia,38.930001,-77.0309709,"Roth 401(k),Traditional IRA,Roth IRA,529,Brokerage",104762.87740117821
Marian,Watts,Marian Watts,181-308-7689,31,1962-02-11,56,2017-04-22,Panama City Beach,FL,13415 Panama City Beach Parkway,Robert,30.2061433,-85.84289439999999,"Traditional IRA,Roth IRA,Brokerage",34186.161536478256
Albert,Huber,Albert Huber,476-361-9324,32,1966-08-06,52,2011-10-01,Lynn Haven,FL,1501 New Hampshire Avenue,Cynthia,30.2361205,-85.6624582,"529,Traditional IRA,Roth IRA,Roth 401(k)",282399.9295295309
Kristi,Nunes,Kristi Nunes,202-276-7683,33,1962-05-13,56,2011-03-10,Oklahoma City,OK,4200 Northwest 59th Street,Robert,35.53076,-97.59467099999999,"Traditional IRA,Brokerage,Roth IRA,Roth 401(k),529",42668.40422252065
Elizabeth,Timinsky,Elizabeth Timinsky,456-735-8985,34,1977-03-25,41,2006-03-11,Dummerston,VT,3 Emery Hill Drive,Cynthia,42.957065,-72.587507,"529,Traditional IRA,Roth IRA",59189.918807415015
Mary,Johnson,Mary Johnson,661-151-0626,35,1953-05-06,65,2004-03-07,Oklahoma City,OK,6401 Green Meadow Lane,Cynthia,35.5369572,-97.66297139999999,Roth IRA,4954.678607374581
Michele,Spradlin,Michele Spradlin,242-480-4613,36,1964-11-25,53,2002-06-15,Panama City,FL,2928 Avon Road,Cynthia,30.196279,-85.619315,"Roth IRA,529,Brokerage,Roth 401(k),Traditional IRA",65391.210703219986
Derrick,Wilson,Derrick Wilson,164-910-3907,37,1978-09-01,40,2009-08-27,Nashville,TN,4728 Rockland Trail,Robert,36.032653,-86.58542399999999,"Roth IRA,Brokerage,Traditional IRA,Roth 401(k)",72415.7254244682
Ana,Jaramillo,Ana Jaramillo,457-378-7404,38,1986-08-25,32,2010-04-06,Oklahoma City,OK,1311 Northwest 98th Street,Robert,35.5705807,-97.53640229999999,"Brokerage,Roth 401(k)",33401.832539110765
Jackie,Lawler,Jackie Lawler,540-752-1075,39,1955-11-04,63,2012-06-27,Pooler,GA,5 Winslow Circle,Cynthia,32.1800799,-81.252433,"Roth 401(k),Brokerage,Roth IRA,529,Traditional IRA",164144.66873765772
Marcia,Gonzalez,Marcia Gonzalez,210-172-3564,40,1988-10-22,30,2000-07-01,Washington,DC,4603 Grant Street Northeast,Cynthia,38.8983173,-76.9364561,"Traditional IRA,Roth IRA,Brokerage,529",74349.28272515394
Betty,Campbell,Betty Campbell,678-598-5478,41,1971-01-03,47,2008-06-23,Essex,VT,19 Murray Road,Robert,44.501023,-73.124143,"529,Traditional IRA,Roth IRA,Brokerage,Roth 401(k)",65091.04508908145
Michael,Marshall,Michael Marshall,451-731-8801,42,1965-09-06,53,2008-12-12,Montgomery,AL,8501 Twin Gable Drive,Robert,32.321534,-86.16841099999999,"Brokerage,529,Roth 401(k),Traditional IRA",48405.77991421596
Hattie,Barnes,Hattie Barnes,161-380-2605,43,1950-09-12,68,2014-08-24,Arvada,CO,7950 West 51st Avenue,Robert,39.7883001,-105.0849404,"529,Brokerage,Traditional IRA",197900.80924072085
Daniel,Harrison,Daniel Harrison,498-630-2658,44,1971-07-28,47,2009-04-08,Louisville,KY,8801 Rosshire Drive,Robert,38.1216631,-85.7505505,Roth IRA,22766.634894416762
Ulysses,Quasdorf,Ulysses Quasdorf,405-650-5184,45,1960-05-12,58,2011-07-26,Springfield,MA,95 Central Street,Cynthia,42.098581,-72.57880999999999,"Traditional IRA,Brokerage",17584.109252113416
Mildred,Rowe,Mildred Rowe,294-594-3641,46,1980-02-19,38,2016-03-28,Manchester,CT,236 Middle Turnpike East,Robert,41.783396,-72.51220599999999,"Traditional IRA,Roth 401(k)",39928.17541173726
Eugene,Faw,Eugene Faw,355-420-4939,47,1974-08-26,44,2009-07-09,Millersville,MD,316 Sourwood Court,Robert,39.100198,-76.606707,"Traditional IRA,Roth 401(k),Roth IRA,529,Brokerage",55306.00218725302
Armandina,Trammel,Armandina Trammel,247-132-7286,48,1969-05-06,49,2000-06-07,Conway,AR,1405 Tolkien Drive,Robert,35.0991829,-92.517619,"529,Traditional IRA,Roth IRA",357904.512573076
Matthew,Brose,Matthew Brose,213-565-8626,49,1962-01-14,56,2009-06-09,Harrah,OK,19091 Northeast 23rd Street,Cynthia,35.493447,-97.193078,Traditional IRA,11175.949338198427
Brian,Cannon,Brian Cannon,484-778-8257,50,1953-07-16,65,2005-06-16,Dartmouth,MA,32 Country Club Boulevard,Cynthia,41.621102,-70.98676600000002,Roth 401(k),10017.825555564174
Derek,Nunez,Derek Nunez,590-535-2256,51,1977-01-09,41,2003-01-06,Arvada,CO,6522 Harlan Street,Robert,39.814999,-105.061909,"Traditional IRA,Brokerage,529",39240.270513211595
Kerry,Yundt,Kerry Yundt,142-972-3307,52,1974-05-28,44,2005-03-03,Panama City,FL,7506 Harvey Street,Cynthia,30.150467,-85.56354800000001,"Roth IRA,Brokerage,529,Roth 401(k),Traditional IRA",69088.46022847506
Ryan,Johnson,Ryan Johnson,354-144-6687,53,1956-05-04,62,2002-08-09,Montgomery,AL,4604 Virginia Loop Road,Robert,32.314591,-86.24074999999999,"Traditional IRA,529,Brokerage,Roth 401(k),Roth IRA",79389.0625365887
Kim,Baker,Kim Baker,503-454-5918,54,1970-11-26,47,2008-05-23,Fayetteville,AR,1100 West Bowen Boulevard,Robert,36.105624,-94.00801,"Brokerage,Traditional IRA",30203.040046903305
James,Sosa,James Sosa,460-578-6866,55,1962-03-08,56,2006-02-12,Washington,DC,836 Lamont Street Northwest,Cynthia,38.9306567,-77.0261289,Roth IRA,13308.807367902256
Phillip,Hood,Phillip Hood,631-429-6151,56,1971-05-10,47,2012-04-15,Oklahoma City,OK,4200 Northwest 59th Street,Cynthia,35.53076,-97.59467099999999,"Roth 401(k),529",35231.14963963455
Chelsea,Salvador,Chelsea Salvador,699-982-2985,57,1954-08-25,64,2013-04-11,Washington,DC,1627 Connecticut Avenue Northwest,Cynthia,38.9120258,-77.04440380000001,"529,Traditional IRA,Brokerage",271551.61564458755
Ronald,Johnson,Ronald Johnson,101-659-4897,58,1968-03-10,50,2004-01-27,Pueblo,CO,1822 North Grand Avenue,Robert,38.284427,-104.611581,"Traditional IRA,Brokerage,Roth IRA",20475.326884054604
Patrick,Vo,Patrick Vo,548-322-4711,59,1957-07-10,61,2001-03-22,Savannah,GA,2 Ambelwood Way,Robert,31.9138389,-81.07297989999999,"Traditional IRA,Brokerage,Roth 401(k)",28891.188894628634
Aaron,Johnston,Aaron Johnston,584-610-3335,60,1974-01-01,44,2012-04-06,Fayetteville,AR,2787 West Blackstone Crossing,Cynthia,36.0608984,-94.1993461,"Roth IRA,Brokerage,529,Roth 401(k),Traditional IRA",273878.76347538276
Judy,Mackenzie,Judy Mackenzie,695-279-0821,61,1959-03-03,59,2011-01-11,Nashville,TN,2732 Rosedale Place,Cynthia,36.1230861,-86.7625204,"529,Brokerage,Roth 401(k),Roth IRA",26866.4147428742
John,Temple,John Temple,200-406-2277,62,1970-03-22,48,2015-05-23,Montgomery,AL,3436 Lexington Road,Robert,32.342856,-86.298278,"Brokerage,Roth 401(k),Traditional IRA,Roth IRA",269013.3237733461
Linda,Mcdaniel,Linda Mcdaniel,247-733-4124,63,1965-06-17,53,2004-08-05,Mexico Beach,FL,3203 US Highway 98,Cynthia,29.9491178,-85.41958989999999,"Roth IRA,Roth 401(k)",31096.97816667478
Mary,Reddick,Mary Reddick,672-974-6805,64,1973-06-01,45,2007-08-04,Nashville,TN,803 18th Avenue South,Robert,36.1500199,-86.79477,"529,Traditional IRA,Roth IRA,Roth 401(k)",95680.45958585228
Bryan,Lindeman,Bryan Lindeman,600-460-6099,65,1964-04-16,54,2014-10-19,Saint Matthews,KY,903 Mallard Creek Road,Robert,38.2384725,-85.63011589999999,529,20876.78765475178
Evelyn,Weldon,Evelyn Weldon,579-974-7706,66,1975-05-22,43,2014-01-16,Washington,DC,2032 4th Street Northwest,Robert,38.9176282,-77.0178092,"529,Brokerage",7638.390716800383
Dustin,Kelly,Dustin Kelly,455-824-6374,67,1982-04-28,36,2000-09-03,Montgomery,AL,6045 Camelot Court,Cynthia,32.3558835,-86.20262180000002,"Roth 401(k),Brokerage,Roth IRA,529",43825.40931696069
Windy,Easterling,Windy Easterling,130-294-4793,68,1979-08-28,39,2013-04-05,Anchorage,AK,20443 Granite Park Circle,Cynthia,61.3009843,-149.5003959,"Traditional IRA,Roth 401(k)",32794.712226944495
Kirsten,Smith,Kirsten Smith,641-777-8869,69,1956-07-23,62,2007-09-10,Panama City Beach,FL,150 Manistee Drive,Cynthia,30.235428,-85.89155099999999,Roth 401(k),20372.761398576655
Chelsea,Viera,Chelsea Viera,567-938-7391,70,1950-06-21,68,2009-06-23,Manchester,CT,115 Maple Street,Robert,41.7687543,-72.51503989999999,Traditional IRA,10692.517410094819
Elizabeth,Coffman,Elizabeth Coffman,189-631-4733,71,1971-08-06,47,2004-12-07,Nashville,TN,223 Main Street,Cynthia,36.171421,-86.770258,"Roth 401(k),Traditional IRA,Roth IRA",31906.620072862606
James,Simon,James Simon,315-755-1375,72,1980-03-02,38,2005-12-05,Severna Park,MD,517 Retford Drive,Cynthia,39.086405,-76.580855,"529,Brokerage,Traditional IRA",210749.33624962447
Catherine,Caraballo,Catherine Caraballo,287-813-5472,73,1951-07-27,67,2015-02-11,Nashville,TN,314 South 17th Street,Robert,36.1719075,-86.740228,"Roth IRA,Traditional IRA,Roth 401(k),529,Brokerage",64865.57236449885
Kenya,Mcclain,Kenya Mcclain,211-525-7817,74,1953-04-12,65,2006-05-17,Montgomery,AL,4235 Phelan Court,Robert,32.297403,-86.22021500000001,"Roth 401(k),529,Brokerage,Traditional IRA",42160.81223503528
Patricia,Eppinger,Patricia Eppinger,282-459-3114,75,1959-10-15,59,2013-06-23,Manchester,CT,131 Westerly Street,Cynthia,41.7906813,-72.53559729999999,"Brokerage,529,Roth IRA",450571.97641069634
Eric,Gloor,Eric Gloor,265-493-3040,76,1974-01-01,44,2013-07-20,Panama City,FL,6818 North Lagoon Drive,Robert,30.159839,-85.76199,"Roth IRA,Brokerage,529,Traditional IRA",57928.93817526354
Herbert,Rufe,Herbert Rufe,122-213-8719,77,1958-11-16,60,2009-11-09,Edmond,OK,14300 Leesa Lane,Cynthia,35.615266,-97.417683,"Roth IRA,Brokerage,Roth 401(k),529",237120.65142016468
David,Williams,David Williams,112-146-1196,78,1988-01-14,30,2014-12-23,Panama City,FL,1831 Frankford Avenue,Robert,30.181993,-85.692285,Brokerage,13224.60895511639
Steven,Norsworthy,Steven Norsworthy,336-730-8522,79,1950-09-16,68,2000-09-12,Brentwood,TN,5545 Saddlewood Lane,Robert,36.026888,-86.7576629,"Roth IRA,Brokerage,529",26679.678071419425
Terry,Booker,Terry Booker,325-692-8615,80,1950-05-19,68,2004-10-17,Worcester,MA,63 Dorchester Street,Cynthia,42.25189,-71.793182,"Traditional IRA,Brokerage,Roth IRA,529",66716.19018750053
Thomas,Kemppainen,Thomas Kemppainen,500-270-6211,81,1973-06-03,45,2010-05-08,Savannah,GA,6702 Johnny Mercer Boulevard,Robert,32.0192,-80.975511,"Roth 401(k),529,Brokerage",50531.49334478509
Jim,Cunningham,Jim Cunningham,204-951-4094,82,1972-04-21,46,2009-11-24,Arvada,CO,6483 West 76th Avenue,Robert,39.834927,-105.069802,"Roth 401(k),529,Traditional IRA,Brokerage",49718.69999784895
Robert,Walker,Robert Walker,693-444-6616,83,1987-09-26,31,2012-02-22,Guthrie,OK,1500 South Division Street,Robert,35.8626829,-97.425072,"Roth 401(k),Traditional IRA,Brokerage",322461.8623621572
Bonnie,Morris,Bonnie Morris,660-443-7225,84,1972-06-14,46,2001-08-10,Millersville,MD,1930 Churchview Court,Robert,39.0455029,-76.654788,Roth IRA,14907.704101084953
Christy,Young,Christy Young,414-266-9082,85,1983-09-19,35,2007-02-02,Fayetteville,AR,6086 Kennedy Drive,Robert,36.103629,-94.24773599999999,529,10166.797720458066
Elizabeth,Salinas,Elizabeth Salinas,687-514-2555,86,1969-05-16,49,2009-11-20,Savannah,GA,6 Little Country Place,Robert,32.003491,-81.0752801,"Roth IRA,Traditional IRA",29304.07725739137
Terry,Ervin,Terry Ervin,101-504-8604,87,1974-11-03,44,2000-12-10,Anchorage,AK,435 East 5th Avenue,Cynthia,61.217854,-149.875705,Roth IRA,14197.347366972701
Howard,Knight,Howard Knight,226-627-4639,88,1989-02-23,29,2013-09-02,Boulder,CO,3040 17th Street,Cynthia,40.0308834,-105.2748855,"Brokerage,Roth 401(k)",33548.240441977956
Emily,Johnson,Emily Johnson,526-646-4290,89,1967-11-07,51,2005-03-12,Methuen,MA,23 Sable Run Lane,Cynthia,42.759847,-71.157721,Roth IRA,12510.330499046015
Harvey,Petty,Harvey Petty,327-983-7736,90,1965-09-16,53,2012-07-01,Medford,MA,14 6th Street,Cynthia,42.4074868,-71.07807670000001,Brokerage,15960.325671548333
Sarah,Edwards,Sarah Edwards,114-739-2575,91,1972-06-18,46,2001-10-12,Arvada,CO,15771 West 64th Avenue,Robert,39.8126444,-105.1768838,"Traditional IRA,Brokerage,529,Roth 401(k),Roth IRA",52987.27367909391
Mary,Rawson,Mary Rawson,244-498-0660,92,1968-07-04,50,2006-08-09,Louisville,KY,1244 South 4th Street,Cynthia,38.233598,-85.7610867,"Roth IRA,Brokerage",6969.163769982837
Harold,Ford,Harold Ford,639-895-8593,93,1954-04-22,64,2004-06-12,Milton,MA,30 Curtis Road,Robert,42.2660192,-71.0910829,Roth 401(k),2453.658682535641
Marie,Durrah,Marie Durrah,299-816-2765,94,1967-02-21,51,2003-08-11,Montgomery,AL,650 Malvern Street,Robert,32.353324,-86.317742,Brokerage,184628.41559722472
Julia,Fielder,Julia Fielder,179-788-1347,95,1956-12-05,61,2002-09-27,Moore,OK,932 Northwest 20th Street,Robert,35.3563709,-97.5080011,"Traditional IRA,Brokerage,529",33921.209000353956
Marvin,Bornhorst,Marvin Bornhorst,395-374-3154,96,1969-05-16,49,2005-11-23,Fayetteville,AR,3111 West Ika Lane,Cynthia,36.1101344,-94.20362809999999,"529,Roth IRA,Traditional IRA",53212.45407918339
Louis,Banter,Louis Banter,142-715-1895,97,1972-05-23,46,2000-10-27,Millersville,MD,316 Sourwood Court,Robert,39.100198,-76.606707,Brokerage,12449.917098396176
Jonathan,Scarbrough,Jonathan Scarbrough,132-890-8652,98,1959-03-13,59,2006-07-19,Panama City,FL,798 Airport Road,Cynthia,30.186469,-85.67183790000001,"Brokerage,529,Traditional IRA,Roth IRA,Roth 401(k)",310962.5905926058
Richard,Jones,Richard Jones,264-728-2765,99,1985-06-07,33,2013-02-15,Panama City Beach,FL,22219 Panama City Beach Parkway,Cynthia,30.2620426,-85.96316709999999,"Brokerage,Roth IRA",39478.12920484052
Audrey,Dubill,Audrey Dubill,688-931-2868,100,1960-10-03,58,2002-03-01,Oklahoma City,OK,1217 Southwest 91st Street,Cynthia,35.3760151,-97.537252,"Roth 401(k),Brokerage,Roth IRA,Traditional IRA",51851.3932990145
Lori,Fitzgerald,Lori Fitzgerald,159-520-8755,101,1955-05-16,63,2007-12-25,Bethany,OK,4503 North Council Road,Robert,35.5176604,-97.65550879999999,"529,Roth IRA",218467.8345918842
Frank,Ostermann,Frank Ostermann,237-725-7834,102,1990-07-15,28,2001-06-19,Redlands,CA,129 Grant Street,Robert,34.0529643,-117.1847245,529,4528.134393478826
Robert,Banter,Robert Banter,116-431-7134,103,1971-05-22,47,2013-10-24,Hayward,CA,26334 Adrian Avenue,Robert,37.636421,-122.102691,"Brokerage,Roth 401(k),Traditional IRA,Roth IRA,529",75045.56319299358
Johnnie,Paz,Johnnie Paz,528-480-2928,104,1964-07-13,54,2016-02-14,Hayward,CA,23501 Ida Lane,Cynthia,37.660696,-122.100733,"Brokerage,529",39611.302978515436
Murray,Barr,Murray Barr,567-643-2076,105,1981-09-19,37,2006-06-22,Fremont,CA,38252 Farwell Drive,Cynthia,37.5376257,-122.0104815,"Roth IRA,Brokerage",246377.28221472353
Mary,Glidden,Mary Glidden,182-675-1250,106,1990-11-21,27,2000-06-22,Arvada,CO,7300 West 74th Place,Robert,39.83103699999999,-105.077096,"529,Roth IRA,Brokerage,Traditional IRA,Roth 401(k)",86715.3481736788
Lee,Hogan,Lee Hogan,428-921-1266,107,1990-04-03,28,2016-08-01,Montgomery,AL,3522 Whiting Avenue,Cynthia,32.341878,-86.32006299999999,"Traditional IRA,Roth 401(k)",36576.68564580545
Tricia,Keiss,Tricia Keiss,516-160-7032,108,1984-12-24,33,2007-03-05,Manchester,CT,35 Lakewood Circle South,Robert,41.754591,-72.52192000000001,"Traditional IRA,Roth 401(k),Roth IRA",241673.27425917087
David,Kampa,David Kampa,606-932-6023,109,1952-09-23,66,2009-04-27,Oakland,CA,2014 Clemens Road,Robert,37.809976,-122.208322,"529,Brokerage",23517.984735527774
Sonia,Morrison,Sonia Morrison,673-597-0099,110,1963-03-13,55,2007-01-20,Bloomingdale,GA,408 Pine Street,Cynthia,32.123381,-81.300556,"529,Brokerage,Traditional IRA",35809.57051226952
David,Allison,David Allison,598-509-3539,111,1985-03-27,33,2010-09-08,Louisville,KY,1601 Algonquin Parkway,Cynthia,38.2225055,-85.7828486,"Brokerage,529,Roth 401(k),Roth IRA,Traditional IRA",89354.96203895407
Kathleen,Lister,Kathleen Lister,252-918-1737,112,1978-03-03,40,2015-04-16,Oklahoma City,OK,8417 Timothy Lane,Robert,35.381694,-97.423171,"Roth IRA,529,Roth 401(k),Traditional IRA",187460.99631199805
Alex,Monton,Alex Monton,522-709-1907,113,1989-07-20,29,2000-01-14,Manchester,CT,207 High Street,Cynthia,41.7691673,-72.5390458,"Brokerage,Roth IRA",144481.53471245762
Lucile,Jamison,Lucile Jamison,194-171-6211,114,1981-09-03,37,2010-10-11,Washington,DC,1710 Monroe Street Northeast,Robert,38.933363,-76.98034799999999,"529,Brokerage",18964.622597939087
Jacob,Williams,Jacob Williams,283-884-6239,115,1982-02-04,36,2016-02-21,Pooler,GA,14 Tranquil Place,Robert,32.08227,-81.26250999999999,Brokerage,3975.24925506342
Corrine,Butts,Corrine Butts,123-353-7873,116,1960-07-05,58,2000-08-24,Oakland,CA,5397 Wentworth Avenue,Robert,37.769842,-122.200969,"Roth 401(k),Traditional IRA,Roth IRA,529,Brokerage",80643.74076964095
Barry,Moen,Barry Moen,480-216-3721,117,1956-04-22,62,2011-10-18,Glendale,AZ,23124 North 71st Drive,Robert,33.6940281,-112.2129262,"Roth 401(k),Traditional IRA",6213.464247899455
Pamela,Gilyard,Pamela Gilyard,461-844-5384,118,1972-06-22,46,2000-09-21,Montgomery,AL,117 South Capitol Parkway,Cynthia,32.3777959,-86.284319,529,22751.436468600787
Dianne,Bullock,Dianne Bullock,315-691-7310,119,1959-02-02,59,2008-04-20,Alameda,CA,1076 Foster Street,Robert,37.736838,-122.25143,"Roth 401(k),Brokerage",24996.55984493164
Donald,Patten,Donald Patten,121-149-3001,120,1969-12-14,48,2011-11-14,Panama City,FL,4604 West 19th Court,Cynthia,30.184328,-85.720681,Brokerage,17375.160954266874
Johnnie,Haris,Johnnie Haris,573-489-1469,121,1960-03-27,58,2008-11-05,Mathews,AL,403 Turkey Creek Road,Cynthia,32.220426,-86.059168,"Brokerage,529,Roth 401(k),Roth IRA,Traditional IRA",254884.5128680077
Gina,Baptiste,Gina Baptiste,205-876-3796,122,1969-09-03,49,2013-07-22,Arvada,CO,8935 Cole Drive,Robert,39.810298,-105.096769,529,12687.623856300595
Maggie,Naccarato,Maggie Naccarato,256-987-0871,123,1988-06-23,30,2013-04-03,Oklahoma City,OK,2237 Northwest 18th Street,Cynthia,35.4882133,-97.5513414,Roth IRA,160170.32389886578
Jessie,Tino,Jessie Tino,483-243-1465,124,1962-10-06,56,2011-06-22,Berkeley,CA,2703 Woolsey Street,Robert,37.854131,-122.252442,Roth 401(k),3635.3054320084707
Sara,Booth,Sara Booth,123-669-3796,125,1989-09-28,29,2004-05-20,Stowe,VT,2063 Notchbrook Road,Robert,44.518528,-72.762367,"Roth IRA,529",28438.522777774888
Otto,Berkley,Otto Berkley,454-186-8103,126,1977-11-24,40,2014-12-01,Glen Burnie,MD,303 Addison Drive,Robert,39.138572,-76.580117,529,23218.688312068218
Eva,Miske,Eva Miske,379-800-9472,127,1974-04-20,44,2014-08-11,Tyngsborough,MA,5 Centercrest Drive,Robert,42.670101,-71.4206892,"529,Traditional IRA,Roth 401(k),Brokerage",74364.38715625377
Donna,Gallagher,Donna Gallagher,569-246-7001,128,1977-07-10,41,2013-10-12,Norman,OK,1304 Northern Hills Road,Robert,35.251327,-97.421738,"Traditional IRA,529,Brokerage,Roth IRA",54137.324676581295
Barbara,Cole,Barbara Cole,599-913-2441,129,1952-05-23,66,2014-11-06,Louisville,KY,1822 Dixdale Avenue,Cynthia,38.2220439,-85.79464999999999,"Brokerage,Roth 401(k),529,Traditional IRA,Roth IRA",47599.60595289172
Dorothy,Miles,Dorothy Miles,285-432-5520,130,1957-03-27,61,2008-11-23,Springfield,MA,435 Porter Lake Drive,Cynthia,42.0712181,-72.5562459,"Brokerage,529,Traditional IRA,Roth 401(k),Roth IRA",90796.04700241916
